protein_id,log2FC_2019,padj_2019,neg_log10padj_2019,DAP_2019,log2FC_2022,padj_2022,neg_log10padj_2022,DAP_2022,mean_log2FC,fisher_combined_padj,neg_log10padj,DAP
Td00001aa021062_T001,0.291603558030565,0.118796454308797,0.925196521451661,NS,0.288998675500957,3.2404025212981e-4,3.48940103858332,NS,0.290301116765761,0.001645263500399611,2.7837645368598314,NS
Td00001aa021128_T002,0.112366523072563,0.604206264483852,0.218814776221519,NS,-0.30330913278822,0.0170475703082062,1.76833750974662,NS,-0.09547130485782851,0.11307253484819381,0.9466428717535826,NS
Td00001aa021145_T004,-0.471928835421265,0.0213793921445111,1.67000464674358,NS,-0.197049487220852,0.0378197779535687,1.42228102530121,NS,-0.3344891613210585,0.01749893837034667,1.7569882983928957,NS
Td00001aa021162_T001,-0.192645077942396,0.49117540953607,0.308763384069902,NS,0.31025132301221,0.0958574617616469,1.01837407500525,NS,0.05880312253490699,0.30063498851255643,0.5219604767309206,NS
Td00001aa021202_T002,-0.227692025041597,0.615839327658227,0.210532580389653,NS,0.772348680328591,0.390007620547295,0.408926907000922,NS,0.272328327643497,0.7057800482315525,0.15133062291769722,NS
Td00001aa021209_T001,0.466757615726171,0.00963869410376769,2.01598180239857,NS,0.194074056475875,0.0188232064732212,1.72530639392624,NS,0.330415836101023,0.005591364176447555,2.252482220373974,NS
Td00001aa021250_T002,-0.210896782498619,0.473945948613052,0.32427118481875,NS,-0.177370824529015,0.319355523001776,0.495725568660674,NS,-0.194133803513817,0.5675627159470212,0.24598614173871264,NS
Td00001aa021291_T002,0.01292617444427,0.515809542134404,0.28751062796391,NS,0.694228103346075,0.00122251630017644,2.91274534158718,NS,0.3535771388951725,0.014492419705075043,1.8388590971493202,NS
Td00001aa021318_T002,-0.274040765490812,0.176693267344977,0.752779998374565,NS,-0.184116022259327,0.0569889932965735,1.24420901471602,NS,-0.2290783938750695,0.11122277747293764,0.9538062638526349,NS
Td00001aa021325_T001,-0.098505544952425,0.0394312790120467,1.40415913571234,NS,-0.391686229809702,5.28191309171564e-8,7.27720874892592,NS,-0.24509588738106353,5.202584335548078e-7,6.283780871007485,NS
Td00001aa021399_T001,-0.217591435072627,0.883164539725489,0.0539583767873317,NS,0.251162552097199,0.921452452008439,0.0355270699545426,NS,0.01678555851228601,0.9996572672230563,1.4887246698859125e-4,NS
Td00001aa021422_T002,0.0976107966264223,0.957123697667127,0.0190319308306053,NS,0.114905570885233,0.851274011088815,0.0699306251686611,NS,0.10625818375582766,0.9996572672230563,1.4887246698859125e-4,NS
Td00001aa021431_T003,-0.522840788813359,2.447145801277e-4,3.61134015455352,NS,0.0371569227851108,0.334995644432921,0.474960839563289,NS,-0.2428419330141241,0.003016726173357655,2.520464108716898,NS
Td00001aa021432_T001,-0.307572801910292,0.511296442831498,0.291327228716892,NS,-0.0212099672843355,0.13338135073909901,0.87490488883994,NS,-0.16439138459731376,0.3706750256068587,0.4310066737667867,NS
Td00001aa021443_T001,-0.717856771218502,0.00167985034355262,2.77472940747912,NS,0.0126074457983472,0.970901574394046,0.012824794668878,NS,-0.3526246627100774,0.029741456621481633,1.5266377652296588,NS
Td00001aa021468_T001,-0.857259827883918,0.00633808955693037,2.19804162854018,NS,-0.817927703322498,5.31434675425483e-6,5.27455011184777,NS,-0.837593765603208,5.083535997406724e-6,5.293834096780935,NS
Td00001aa021487_T002,0.220329954879556,0.31914720189914503,0.496008958864094,NS,0.273235860900031,6.02191673081126e-5,4.22026525407055,NS,0.2467829078897935,9.414735824684824e-4,3.0261918616793153,NS
Td00001aa021495_T002,-0.142417044615852,0.356934106060343,0.447411951999184,NS,-0.0918065853389152,0.387989429751105,0.411180106012234,NS,-0.1171118149773836,0.5436655814911504,0.2646681605454975,NS
Td00001aa021514_T001,0.12565110166152,0.706492478272324,0.150892457541131,NS,-0.0119386035743927,0.998009168405282,8.6546896359895e-4,NS,0.05685624904356364,0.9914734432039581,0.0037189139593741083,NS
Td00001aa021538_T002,0.160920188181103,0.383065776095807,0.416726647068548,NS,0.311168319464658,0.104580085249021,0.980551008488729,NS,0.23604425382288052,0.27295659601428673,0.563906406476191,NS
Td00001aa021571_T001,0.0510240030244669,0.439950355164345,0.35659632736517,NS,0.367304858917983,0.0380115828828438,1.420084045078,NS,0.20916443097122495,0.15829057548743922,0.8005449419642074,NS
Td00001aa021598_T005,-0.281035664240461,0.0331468928425609,1.47955717569284,NS,-0.538384651377682,0.00318983157234801,2.49623224770488,NS,-0.4097101578090715,0.003678555053954914,2.4343227398389873,NS
Td00001aa021611_T001,0.477159211186641,0.255381529581941,0.592810516198346,NS,-0.370483463003617,2.83199368384099e-6,5.54790771958257,NS,0.053337874091512,6.580645896551692e-5,4.181731477884266,NS
Td00001aa021637_T001,-0.395928676331139,0.00834161429318907,2.07874989531161,NS,-0.74567931387621,9.08555775583037e-10,9.0416484065129,NS,-0.5708039951036745,4.289748288764195e-9,8.367568190334598,NS
Td00001aa021651_T001,-1.72737954533701,0.358601858730712,0.445387463701891,NS,-1.1078713252194,2.80890454081028e-9,8.55146301982433,Down,-1.417625435278205,2.8578949821091025e-7,6.543953734092455,Down
Td00001aa021652_T001,2.15962918582123,0.0312482988367731,1.5051736207491,Up,2.49441149662558,6.894028789723609e-11,10.1615269072942,Up,2.327020341223405,1.4287272630989795e-9,8.845050667945198,Up
Td00001aa021661_T001,-0.844250767322055,0.0208199219646313,1.68152090260615,NS,-0.265366333011237,0.0994328238565678,1.00247022660247,NS,-0.554808550166646,0.03524008591536614,1.4529630414483001,NS
Td00001aa021684_T001,-0.168122758808327,0.238659445427118,0.622221372880804,NS,1.18617522315136,0.00192958469495462,2.71453615425549,Up,0.5090262321715164,0.011526278167417768,1.938310903658286,NS
Td00001aa021685_T002,-0.246395463720005,0.368421158744542,0.433655435852702,NS,-0.105351854407106,0.854274905808042,0.0684023507822573,NS,-0.1758736590635555,0.7884445249656364,0.10322885826261541,NS
