orthogroup,log2FC,padj,species,DAP,rank
OG0001719,-0.4305089080412838,0.595890075817136,Ag,NS,1720
OG0001721,-0.35107444054687875,1,Ag,NS,1567
OG0001726,-0.4402634755670174,1,Ag,NS,1739
OG0001728,0.20664322398339532,1,Ag,NS,478
OG0001735,-0.10780328953451485,1,Ag,NS,1052
OG0001746,-0.4078217628378,0.227341566409332,Ag,NS,1676
OG0001758,-0.8109661756099832,0.258190363273377,Ag,NS,2061
OG0001760,-0.287583778804,0.127406660512902,Ag,NS,1424
OG0001787,1.227741075839128,0.0165152325061983,Ag,UP,77
OG0001792,-0.7226103011891362,0.0420536306123751,Ag,NS,2001
OG0001828,-0.3566055465201077,0.0035902104398114,Ag,NS,1574
OG0001834,-0.1942948151614887,0.84952708716135,Ag,NS,1245
OG0001843,-0.4208198518728499,0.0699344123526941,Ag,NS,1706
OG0001853,-0.1504009888485484,1,Ag,NS,1142
OG0001856,-0.05589120089204515,1,Ag,NS,945
OG0001868,-0.6170561304310095,1,Ag,NS,1928
OG0001888,-0.5332423842738286,0.0812669725677865,Ag,NS,1841
OG0001890,-1.0409717810563062,0.00892797863304662,Ag,DOWN,2145
OG0001891,0.4353884970158687,0.0916775613093292,Ag,NS,278
OG0001906,-0.12112992622530994,0.637503851489906,Ag,NS,1080
OG0001917,0.13224779829843977,1,Ag,NS,597
OG0001923,0.04963076772460043,1,Ag,NS,754
OG0001935,-0.8943219221054628,0.0536254453114337,Ag,NS,2098
OG0001939,0.15833702716710066,1,Ag,NS,551
OG0001945,-0.3219280948873623,1,Ag,NS,1499
OG0001953,-0.08777329035812653,1,Ag,NS,1011
OG0001959,1.655351828612554,0.00674163196674156,Ag,UP,38
OG0001963,-0.09541956507868243,1,Ag,NS,1025
OG0001975,-0.32082887785880054,1,Ag,NS,1496
OG0001997,-0.06793882865657556,1,Ag,NS,970
OG0002006,-0.2293823533437969,1,Ag,NS,1303
OG0002009,-0.10469737866669324,1,Ag,NS,1043
OG0002013,-0.9241251330248724,0.215393979935466,Ag,NS,2109
OG0002018,0.1016500760944348,1,Ag,NS,655
OG0002021,-0.1616532634787693,1,Ag,NS,1175
OG0002023,-0.3237325917341102,0.410205956786145,Ag,NS,1506
OG0002025,-0.20922796213800007,1,Ag,NS,1272
OG0002040,0.2207417397913224,0.536056963258121,Ag,NS,458
OG0002061,-0.12029423371771177,0.893498609002903,Ag,NS,1075
OG0002062,0.07570862016110808,1,Ag,NS,702
OG0002064,-0.2857797260977744,0.0462632683645054,Ag,NS,1418
OG0002077,-0.1250063610670326,0.996169528996761,Ag,NS,1087
OG0002088,-0.4035418604410144,0.798625464100395,Ag,NS,1665
OG0002090,-0.07552000764097772,1,Ag,NS,986
OG0002091,-0.2688167584278,1,Ag,NS,1383
OG0002100,-0.23446525363702295,0.951860424318413,Ag,NS,1314
OG0002101,0.1583496188797841,1,Ag,NS,550
OG0002113,0.6313371441274813,1,Ag,NS,182
OG0002122,-0.8598757760909294,0.00574634529669289,Ag,NS,2078
OG0002125,-0.17136841831198107,0.824230148147376,Ag,NS,1203
OG0002133,-0.24127043154213737,1,Ag,NS,1327
OG0002139,0.13619138628714403,0.772992959752429,Ag,NS,590
OG0002153,-0.7734914701913203,0.0670897012769934,Ag,NS,2040
OG0002161,-0.12030275630492529,1,Ag,NS,1079
OG0002171,0.41792000781196526,0.501644484839789,Ag,NS,286
OG0002175,-1.214240225572989,0.531972317884627,Ag,NS,2184
OG0002176,-0.488026018218199,1,Ag,NS,1799
OG0002190,0.11103131238874396,1,Ag,NS,638
OG0002191,-0.06307890982605723,1,Ag,NS,959
OG0002197,-0.962969269055033,0.390801401401852,Ag,NS,2124
OG0002208,-0.28032141076287154,0.347755801342392,Ag,NS,1408
OG0002214,0.3807294485035485,0.686285384820356,Ag,NS,307
OG0002228,-0.9406447223835788,0.129321172872967,Ag,NS,2116
OG0002232,-0.1733360557262808,0.923376910830964,Ag,NS,1210
OG0002237,-0.09004494453283649,1,Ag,NS,1013
OG0002238,0.23492007131768516,1,Ag,NS,438
OG0002248,-0.3978282092466207,0.00548598676405933,Ag,NS,1656
OG0002270,0.5983652053236446,0.970698601758913,Ag,NS,200
OG0002286,-0.31293931166010763,1,Ag,NS,1482
OG0002300,-0.8084373492992444,0.0223282346505309,Ag,NS,2060
OG0002316,-1,0.0200439993285326,Ag,NS,2133
OG0002341,-0.3959286763311392,0.248840922093142,Ag,NS,1651
OG0002345,0.7916057247045517,0.0458923743503472,Ag,NS,144
OG0002355,-0.5252131364715593,0.02102156443159659,Ag,NS,1832
OG0002361,-0.19264507794239588,1,Ag,NS,1243
OG0002368,-1.9545570292388328,0.0419953986088286,Ag,DOWN,2238
OG0002379,-0.24127043154213737,0.344923638365764,Ag,NS,1327
OG0002381,-0.36215793967589505,0.23321989503619,Ag,NS,1588
OG0002384,-0.14677070042588974,0.151679520058662,Ag,NS,1131
OG0002396,0.4646682670034442,1,Ag,NS,261
OG0002425,-1.2549778509627354,1.5121333411169e-4,Ag,DOWN,2190
OG0002432,-0.08467032398699055,1,Ag,NS,1005
OG0002435,0.06212171190779749,1,Ag,NS,724
OG0002436,0.1775989293277334,0.962361215679062,Ag,NS,516
OG0002502,-0.04599169382165502,1,Ag,NS,924
OG0002524,1.5389702943412877,0.123418797129278,Ag,NS,51
OG0002531,-0.31473259348315835,1,Ag,NS,1485
OG0002532,-0.05289494843212547,1,Ag,NS,938
