protein_id,log2FC,padj,neg_log10padj,DAP
Ag00001aa107984_T001,-0.03061923505839206,1,-0,NS
Ag00001aa033715_T001,-0.5994620704162712,0.103544316586279,0.9848737339791851,NS
Ag00001aa111393_T001,-0.1504009888485484,1,-0,NS
Ag00001aa068250_T001,-0.23446525363702297,0.753607431162724,0.12285482770847365,NS
Ag00001aa126989_T001,0.5180314926021693,0.627344416087216,0.20249396325381197,NS
Ag00001aa035496_T001,0.2785795504584233,1,-0,NS
Ag00001aa023040_T001,-0.139235797371172,1,-0,NS
Ag00001aa061732_T001,0.6690267655096307,0.0453711853873575,1.3432198740189032,NS
Ag00001aa003452_T001,0.3056787432422875,1,-0,NS
Ag00001aa008697_T002,-0.18770715512672886,1,-0,NS
Ag00001aa048344_T001,-0.20756106993536216,1,-0,NS
Ag00001aa107827_T001,0.37183761733042053,0.361426223565155,0.44198034005269404,NS
Ag00001aa066636_T001,-0.17625063969172725,1,-0,NS
Ag00001aa091612_T001,0.07313470463021537,1,-0,NS
Ag00001aa032373_T001,0.29278174922784594,0.302829865707166,0.518801296040492,NS
Ag00001aa091875_T001,0.029982866215714315,1,-0,NS
Ag00001aa059249_T001,0.45206823022381093,0.0416359348535571,1.3805316796622653,NS
Ag00001aa063744_T001,0.32423456227053127,0.519319049873162,0.2845657461454561,NS
Ag00001aa033757_T001,-0.5521563556379144,1,-0,NS
Ag00001aa040350_T001,0.8844025529836872,1,-0,NS
Ag00001aa071199_T001,0.9107326619029126,0.973893858265313,0.011488372979245267,NS
Ag00001aa033758_T001,0.21909105824619673,1,-0,NS
Ag00001aa151108_T001,0.6480051798104932,1,-0,NS
Ag00001aa029524_T001,-0.10624949827943407,1,-0,NS
Ag00001aa005816_T001,-0.3547594873547347,0.0202504167656162,1.6935660343187044,NS
Ag00001aa075749_T002,1.0454429707611672,0.0544811824426363,1.2637534752006432,NS
Ag00001aa134621_T001,-0.5104570643575265,0.0628531393390681,1.2016730256377757,NS
Ag00001aa071072_T001,1.491083453718256,0.00574845484869436,2.240448875460792,Up
Ag00001aa115352_T001,-0.05439229681862778,1,-0,NS
Ag00001aa051010_T003,-0.3566055465201077,1,-0,NS
Ag00001aa153229_T001,-0.19264507794239588,0.371716023121739,0.4297887178836376,NS
Ag00001aa037264_T001,-0.1975999598851607,1,-0,NS
Ag00001aa126038_T001,-0.06491747668133854,1,-0,NS
Ag00001aa109584_T001,-1.4500844463780447,0.549388502058205,0.2601204340034217,NS
Ag00001aa092548_T001,-1.5104570643575264,0.0843038823441318,1.0741524248793006,NS
Ag00001aa021310_T001,-0.5734668618833266,0.00962221414861823,2.0167249818204565,NS
Ag00001aa017334_T001,-0.2898272517203383,0.636328108545624,0.1963188922334658,NS
Ag00001aa070296_T002,-0.36401349625437696,1,-0,NS
Ag00001aa045096_T002,0.6276068381296498,0.149172989626123,0.8263098063423499,NS
Ag00001aa101520_T001,0.18650055764449475,1,-0,NS
Ag00001aa075698_T002,-0.06793882865657556,1,-0,NS
Ag00001aa001578_T001,-0.12186323337305248,1,-0,NS
Ag00001aa068256_T001,0.5139959793670126,0.0562400122696242,1.2499545932401972,NS
Ag00001aa121537_T004,-0.4619585466663364,0.374823852859717,0.426172779481885,NS
Ag00001aa078269_T001,-0.5458241068141979,1,-0,NS
Ag00001aa083008_T002,-0.10005101381032824,1,-0,NS
Ag00001aa071342_T001,-0.38270151715915357,1,-0,NS
Ag00001aa027649_T002,-0.3057883922321094,0.791266286787057,0.10167733771525055,NS
Ag00001aa116525_T001,-0.34739878240348054,1,-0,NS
Ag00001aa035348_T001,-0.16004041251046824,1,-0,NS
Ag00001aa108291_T001,-0.7661119398257227,0.476792220270321,0.3216708395120207,NS
Ag00001aa041237_T001,-0.24468509595490195,1,-0,NS
Ag00001aa097340_T002,-0.34190279464862844,1,-0,NS
Ag00001aa094570_T001,-0.4981787345790897,0.564699366612494,0.24818269938345558,NS
Ag00001aa074424_T001,0.5587574303737622,0.105219414314994,0.9779041199545047,NS
Ag00001aa076340_T001,1.973794929652606,0.0100496304325217,1.9978499087974857,Up
Ag00001aa129983_T001,0.08678376614206665,1,-0,NS
Ag00001aa039910_T001,-0.3255393484397412,1,-0,NS
Ag00001aa083002_T003,0.014355292977070054,1,-0,NS
Ag00001aa071644_T002,-0.7933567760166047,0.294408640946631,0.5310494475262225,NS
Ag00001aa027823_T002,-0.24468509595490195,1,-0,NS
Ag00001aa121107_T001,2.0721058004804194,0.00818696507132179,2.08687706247041,Up
Ag00001aa128017_T001,0.10030490579568548,1,-0,NS
Ag00001aa117362_T001,-0.7983661388303496,0.333380131424759,0.4770602865407446,NS
Ag00001aa120192_T001,0.6744606515602588,0.0254506849325041,1.5943005253742049,NS
Ag00001aa115687_T001,-0.17625063969172725,1,-0,NS
Ag00001aa014875_T002,0.3265373481399519,0.16362515761505,0.7861499220985536,NS
Ag00001aa068706_T005,1.5499155536219553,0.163282673645782,0.7870598969488752,NS
Ag00001aa055626_T002,-0.4860040206329874,0.863985968220939,0.06349331073141014,NS
Ag00001aa104120_T004,1.6059683588414584,0.0448858046406351,1.3478909850766034,Up
Ag00001aa105291_T002,-0.06793882865657556,1,-0,NS
Ag00001aa026861_T002,-0.6438561897747247,0.637069687875986,0.19581305839523608,NS
Ag00001aa084722_T001,0.22527492986956935,1,-0,NS
Ag00001aa023125_T001,0.8032270364349277,0.0462632683645054,1.3347636888475225,NS
Ag00001aa091784_T001,0.46362245685189335,1,-0,NS
Ag00001aa094962_T001,-0.4344028241457749,1,-0,NS
Ag00001aa009839_T002,-0.03209362970985334,1,-0,NS
Ag00001aa004568_T002,-0.08161376555365212,1,-0,NS
Ag00001aa074187_T001,-0.392137097168765,1,-0,NS
Ag00001aa083910_T002,-0.41119543298444966,0.0132930473439381,1.8763754484816713,NS
