protein_id,log2FC_2022,padj_2022,DAP_2022,log2FC_2019,padj_2019,DAP_2019
Td00001aa001541_T001,0.9171008032757874,0.0010855952490980416,NS,1.04544297076117,5.2116312938815e-4,Up
Td00001aa001544_T001,-0.41272757549474376,0.24179789306645047,NS,-0.0573916638883367,0.859304480445651,NS
Td00001aa001550_T005,-0.1128761569494386,0.012616417005898203,NS,-0.388355456626338,0.2479592976373,NS
Td00001aa001578_T001,-0.5392507919424735,0.003317128550102632,NS,0.0257375614136083,0.836397598716507,NS
Td00001aa001591_T001,-0.10316597408453243,0.0064287998149311866,NS,0.0426443374084937,0.647144665408168,NS
Td00001aa001592_T001,-1.1309871624694434,4.621716637365478e-5,Down,-0.839079811818897,0.113084693602636,NS
Td00001aa001617_T001,0.103415789660103,0.2810834189727738,NS,-0.305788392232109,0.0266147012720884,NS
Td00001aa001626_T001,0.08304230599724036,0.6269781108630567,NS,0.0496307677246004,0.957123697667127,NS
Td00001aa001703_T002,-0.04065557970813267,0.3452866259454362,NS,0.102993993323326,0.753046150923071,NS
Td00001aa001768_T001,1.011102347304001,0.0012043241773014711,Up,0.187767747046025,0.309513104014929,NS
Td00001aa001816_T003,-0.0048546565655109945,0.30244156455020116,NS,0.168642035558839,0.327738801830546,NS
Td00001aa001856_T001,-1.4899064040829086,0.001644910899309444,Down,-0.902389203373578,0.0309922934380459,NS
Td00001aa001865_T001,0.5800981722761258,9.249765803112817e-4,NS,-0.29689930039584,0.289607419029284,NS
Td00001aa001885_T002,0.32091385232792036,0.004962908269453617,NS,-0.0424567992428948,0.563994119586965,NS
Td00001aa001943_T002,-0.12700161551239816,0.0036223896986331554,NS,-0.132894270497345,0.871228186999805,NS
Td00001aa001961_T001,-0.24154682365334115,0.14725871752426614,NS,-0.251538766995964,0.308157705527536,NS
Td00001aa001965_T002,0.5250637157025918,1.0101139225439369e-4,NS,0.681674141792833,0.0904683750649922,NS
Td00001aa001981_T001,0.3533388634369255,8.79334819987935e-6,NS,0.488515008957812,0.0129195954374794,NS
Td00001aa001998_T001,0.0347742744942069,0.8424544857397968,NS,-0.340075441597622,0.196078470041134,NS
Td00001aa002029_T003,0.04872188117748839,0.28702525378728494,NS,-0.164884384741782,0.38951708691868703,NS
Td00001aa002075_T002,0.7689460830895424,0.023931354671970523,NS,-0.244685095954902,0.817533769525395,NS
Td00001aa002093_T001,-0.559887315646721,3.1768516133678275e-5,NS,-1.06793882865658,1.5257766449722e-4,Down
Td00001aa002133_T001,-0.39381604472363535,1.9119174336894738e-5,NS,-0.857259827883918,0.0275307175785445,NS
Td00001aa002147_T001,0.04349436046963397,0.7634000385547729,NS,0.10969486482593,0.771746630711915,NS
Td00001aa002157_T002,-0.24915663698762436,0.22996580258037297,NS,0.376290383337052,0.182318441306396,NS
Td00001aa002232_T001,2.568823643897055,5.040584259789524e-7,Up,3.26363540356833,0.162636726341925,NS
Td00001aa002263_T001,0.06949943514004142,0.45422082029818167,NS,-0.115597447016313,0.806067205173642,NS
Td00001aa002278_T003,0.09621354226663041,0.09287611596330186,NS,0.158337027167101,0.908467935800841,NS
Td00001aa002280_T001,-1.399517890210406,6.58616870316946e-4,Down,-1.43050890804128,0.112112111369732,NS
Td00001aa002302_T001,-0.22342569882080035,0.004008830122872856,NS,-0.0380063225797449,0.48410102905283,NS
Td00001aa002304_T001,-0.841653425120366,1.5335242065974387e-4,NS,-0.940644722383579,0.129775996847858,NS
Td00001aa002316_T001,-1.1716195652332206,0.0044190133957364855,Down,-0.329159664118438,0.392531338978006,NS
Td00001aa002331_T006,-0.21789240324368364,0.33809385246303475,NS,-0.734563103950902,0.0546892548383067,NS
Td00001aa002356_T001,-0.2132694753048242,0.21684597104854003,NS,-0.601649629654035,0.0579689758450606,NS
Td00001aa002372_T002,1.7666852950229037,1.2868552293099332e-7,Up,1.67400860861723,0.00143071222916319,Up
Td00001aa002377_T001,0.5844817505377438,0.0036476041973728577,NS,0.366252263699564,0.258353855325715,NS
Td00001aa002382_T003,-0.06878587690450982,0.1483019266575989,NS,-0.573466861883327,0.00101090484011051,NS
Td00001aa002383_T002,-0.2369000993991773,0.008102643781540344,NS,-0.332789087519129,0.00763743657910662,NS
Td00001aa002406_T001,-0.11315241532072175,0.8016972941757432,NS,-0.215914857265243,0.268281944030521,NS
Td00001aa002493_T003,-0.6593530067807217,0.0014245258369589096,NS,0.516015147003665,0.826399750366414,NS
Td00001aa002517_T001,-0.3536012153262659,0.034132764005788234,NS,0.105678077894537,0.563994119586965,NS
Td00001aa002518_T002,-1.220198543669913,0.1231415089007053,NS,-0.962969269055033,0.0903510372247247,NS
Td00001aa002537_T001,-0.42602423674712564,0.0011328487073446183,NS,-0.397828209246621,0.00354387985324326,NS
Td00001aa002569_T001,-0.666107885569823,6.99388547963326e-6,NS,0.301002256032814,0.695484714987048,NS
Td00001aa002573_T001,-0.08832453445786168,0.3036070292692112,NS,0.516015147003665,0.0396233772203047,NS
Td00001aa002575_T002,0.11891639638471975,0.6393311582112686,NS,-0.520769438793664,0.31304629685720903,NS
Td00001aa002598_T001,-0.43290890672925514,0.004830071708818717,NS,-0.125006361067033,0.592856812698946,NS
Td00001aa002600_T001,-0.2654589119965531,0.0013242979017227205,NS,0.104336659814736,0.753072609227337,NS
Td00001aa002603_T003,2.086344531364648,1.9073986254033213e-5,Up,1.48800077083407,0.0037247136435123,Up
Td00001aa002606_T002,-0.5392929653597923,0.001329216481103762,NS,-0.375197234747053,0.0419580216432743,NS
Td00001aa002617_T001,-0.12901845430046086,0.09634339910512582,NS,-0.156820109742826,0.329922775939454,NS
Td00001aa002622_T001,-0.1539213693915412,0.26774749617955207,NS,0.167357927738514,0.733092182033254,NS
Td00001aa002632_T004,0.6446688293248124,0.0011721127261651563,NS,0.451013242943973,0.251771695203359,NS
Td00001aa002636_T001,-0.18827447320256166,0.018014786742857423,NS,-0.610433188237274,0.107675344080803,NS
Td00001aa002645_T002,-0.31442038038804115,0.0023415725717106325,NS,0.10969486482593,0.961534406232858,NS
Td00001aa002661_T001,-0.5892128088121892,0.002646119850343362,NS,-0.147202107181229,0.792902833819191,NS
Td00001aa002689_T005,0.27815008280341885,0.0036731775340940655,NS,0.306845500314283,0.0816357227174932,NS
Td00001aa002692_T001,-0.06173034479629217,0.8801576405107624,NS,-0.524915117051217,0.0530086005546132,NS
Td00001aa002694_T002,0.23289778456220564,0.016095627616948247,NS,0.16478627814334,0.337889483927646,NS
Td00001aa002709_T002,-0.3729930680783328,0.001730930691711688,NS,-0.256700472111743,0.0529077463392725,NS
Td00001aa002710_T001,-0.7259101933066965,0.0013499857818394861,NS,0.280956313831056,0.809926170190119,NS
Td00001aa002713_T001,0.3084496782707839,0.05944361494019934,NS,0.531069492725954,0.180299818905482,NS
Td00001aa002733_T002,-0.7447381269361113,2.6272317770083378e-5,NS,-1.46593839757888,0.0203590277908829,Down
Td00001aa002734_T001,-0.3174926471102233,0.31045113258412743,NS,0.0299828662157143,0.889594940429826,NS
Td00001aa002739_T002,0.35945015988160595,0.0027592761351162625,NS,0.637842060324105,0.0653386472432927,NS
Td00001aa002742_T001,1.1275116238315646,0.0064968030334695516,Up,1.41792000781197,0.153323781941651,NS
Td00001aa002746_T002,0.1859473914508501,0.03590016476761476,NS,-0.0247366783215064,0.621110774035379,NS
Td00001aa002748_T001,0.2783622182064867,0.03361204944470942,NS,0.12961273813047,0.958858471977076,NS
Td00001aa002777_T001,-0.017721263102055743,0.14658121715323025,NS,-0.405451450449646,0.0213333534437037,NS
Td00001aa002810_T003,-0.6130601657235754,4.415577086669309e-4,NS,0,0.538937180697291,NS
Td00001aa002818_T001,-0.3492581696325282,0.004232962504619888,NS,0.168642035558839,0.152522447679023,NS
Td00001aa002840_T001,-0.1375141330513668,0.13861371949498458,NS,-0.098505544952425,0.778695499458094,NS
Td00001aa002846_T004,0.27234944119973425,0.5039194804369022,NS,-0.0664273617389761,0.937370426963845,NS
Td00001aa002847_T001,2.1259369301613718,1.8386830332386357e-5,Up,1.4594316186373,0.00823824376531959,Up
Td00001aa002854_T001,0.6507195185878795,0.08592086383789077,NS,-0.56277226108709,0.324110218428475,NS
Td00001aa002896_T001,0.2995741848582843,0.468021414565837,NS,-0.508403405589552,0.821766529192558,NS
Td00001aa002916_T001,-0.3583823552623343,0.14962007385199178,NS,-0.212567535483132,0.827156374239324,NS
Td00001aa002931_T001,0.7336819560800977,6.329274069948749e-4,NS,0.727702672837238,0.10789359926318,NS
Td00001aa002989_T005,0.05418063408412855,0.11443892847742755,NS,0.316145742293356,0.1188269288915,NS
Td00001aa003020_T002,-0.06691868007339698,0.05262545048677519,NS,0.190298791626595,0.508593693381209,NS
Td00001aa003089_T001,0.09448871691857585,0.5048527996727052,NS,-0.556393348524385,0.0800486031782458,NS
Td00001aa003097_T001,-0.798755569402101,0.08206376916789551,NS,-0.857259827883918,0.0579171109627471,NS
Td00001aa003108_T001,-0.22318916679423642,0.3569871483257587,NS,-0.713118852211838,0.0905493851672158,NS
Td00001aa003158_T001,-0.5817767801670746,3.98448507649645e-6,NS,-0.886299500835272,0.00214660540967037,NS
Td00001aa003180_T003,0.2271304736861497,3.761055811611189e-4,NS,0.204140716780225,0.106768606197592,NS
Td00001aa003191_T001,0.735521079866668,0.011622475192240845,NS,0.711054321812066,0.0405112804590799,NS
Td00001aa003200_T001,-0.49250560880573935,6.568707281968229e-5,NS,-0.416962376203336,0.0142311473398725,NS
Td00001aa003202_T003,-0.14658884210801473,0.06049162183086321,NS,-0.349235440883098,0.037980495655965,NS
Td00001aa003203_T002,0.77555287011385865,8.213919288231908e-4,NS,0.526068811667588,0.0200945391142115,NS
Td00001aa003210_T002,-0.148351729749387,0.2594728092444163,NS,-0.0218043703183484,0.801718820124303,NS
Td00001aa003242_T002,0.49856370134723743,2.700023755542101e-4,NS,0.490570130446201,0.0333945371913652,NS
Td00001aa003249_T002,-0.3439022871318844,0.007114030169398418,NS,-0.362157939675895,0.0612277508572448,NS
Td00001aa003250_T001,-0.45188384454329034,0.005789640933979315,NS,0.149259365499623,0.417297397980317,NS
Td00001aa003262_T002,-0.12491040026020087,0.07643395615873334,NS,-0.0130430374755989,0.950304882426393,NS
Td00001aa003276_T001,0.6231519821290536,0.0030028454644737395,NS,0.195347598322219,0.671481608432371,NS
Td00001aa003277_T001,1.2858427685570435,9.23093978225352e-8,Up,1.7578766597479,0.0102839183051838,Up
Td00001aa003303_T001,-0.11634013748665194,0.06722964434893744,NS,0.0648828515848544,0.881447725265228,NS
Td00001aa003309_T001,0.035760318916157406,0.686976063456022,NS,0.124328135002202,0.874075483171126,NS
Td00001aa003317_T002,0.16338092797994944,0.23585531211475946,NS,-0.0306192350583921,0.609369772410279,NS
Td00001aa003322_T003,-0.23500646765468075,3.9035052064931216e-4,NS,0.0935601761623378,0.584697440955071,NS
Td00001aa003331_T001,0.7632095278153843,3.896984641234171e-6,NS,1.28569812595813,0.0037247136435123,Up
Td00001aa003346_T001,-0.6846019046771379,0.011378220426693144,NS,-0.524915117051217,0.185961053835863,NS
Td00001aa003349_T002,0.6294765524178118,0.001977666883361705,NS,-0.186064929518683,0.900572395947392,NS
Td00001aa003359_T001,-0.48171652948453325,7.46938283169517e-4,NS,0.166072675946706,0.882069714174911,NS
Td00001aa003400_T002,-0.8934716608530257,5.257788659451817e-7,NS,-1.02914634565952,2.5463277919117e-5,Down
Td00001aa003426_T001,0.8105758036905814,0.0066535712062183875,NS,1.11835972595306,0.0360126886590217,Up
Td00001aa003441_T001,-0.24935882346045066,0.008108534412243322,NS,-0.50635266602479,0.121230938341376,NS
Td00001aa003479_T001,-0.20091912526870243,0.04723218586997449,NS,-0.481968507397831,0.0396233772203047,NS
